state,name,county,population,populationDensity
Maryland,Aberdeen,Harford,14959,2201.4
Maryland,Aberdeen Proving Ground,Harford,2093,188.5
Maryland,Accident,Garrett,325,662.6
Maryland,Accokeek,Prince George's,10573,385.5
Maryland,Adamstown,Frederick,2372,721.3
Maryland,Adelphi,Prince George's,15086,5508.2
Maryland,Algonquin,Dorchester,1241,1673.3
Maryland,Allen,Wicomico,210,596.8
Maryland,Andrews AFB,Prince George's,2973,429.7
Maryland,Annapolis,Anne Arundel,38394,5344.1
Maryland,Annapolis Neck,Anne Arundel,10950,1576.4
Maryland,Antietam,Washington,89,580
Maryland,Aquasco,Prince George's,981,49.6
Maryland,Arbutus,Baltimore,20483,3139.9
Maryland,Arden on the Severn,Anne Arundel,1953,1367.1
Maryland,Arnold,Anne Arundel,23106,2135.9
Maryland,Ashton-Sandy Spring,Montgomery,5628,548
Maryland,Aspen Hill,Montgomery,48759,5070.4
Maryland,Baden,Prince George's,2128,76.9
Maryland,Bagtown,Washington,333,610.3
Maryland,Bakersville,Washington,30,590.4
Maryland,Ballenger Creek,Frederick,18274,1689.2
Maryland,Baltimore,Baltimore,620961,7671.5
Maryland,Baltimore Highlands,Baltimore,7019,4056.5
Maryland,Barclay,Queen Anne's,120,769
Maryland,Barnesville,Montgomery,172,351.8
Maryland,Barrelville,Allegany,73,1662.2
Maryland,Barton,Allegany,457,2068.5
Maryland,Bartonsville,Frederick,1451,555.6
Maryland,Beaver Creek,Washington,251,385
Maryland,Bel Air,Allegany,1258,2763.7
Maryland,Bel Air,Harford,10120,3450.4
Maryland,Bel Air North,Harford,30568,1903.5
Maryland,Bel Air South,Harford,47709,3045.3
Maryland,Beltsville,Prince George's,16772,2342
Maryland,Benedict,Charles,261,1117.8
Maryland,Bensville,Charles,11923,705.7
Maryland,Berlin,Worcester,4485,1422.2
Maryland,Berwyn Heights,Prince George's,3123,4535.4
Maryland,Bethesda,Montgomery,60858,4579.7
Maryland,Betterton,Kent,345,348.5
Maryland,Bier,Allegany,173,118.7
Maryland,Big Pool,Washington,82,768.1
Maryland,Big Spring,Washington,84,604.2
Maryland,Bishopville,Worcester,531,185
Maryland,Bivalve,Wicomico,201,153.2
Maryland,Bladensburg,Prince George's,9148,9163
Maryland,Bloomington,Garrett,305,491.8
Maryland,Boonsboro,Washington,3336,1150.8
Maryland,Bowie,Prince George's,54727,2970.1
Maryland,Bowleys Quarters,Baltimore,6755,2147.6
Maryland,Bowling Green,Allegany,1077,1119.6
Maryland,Bowmans Addition,Allegany,627,638
Maryland,Braddock Heights,Frederick,2608,555.8
Maryland,Brandywine,Prince George's,6719,319.8
Maryland,Breathedsville,Washington,254,682.6
Maryland,Brentwood,Prince George's,3046,7946.7
Maryland,Brock Hall,Prince George's,9552,701.7
Maryland,Brookeville,Montgomery,134,1136.2
Maryland,Brooklyn Park,Anne Arundel,14373,3422.5
Maryland,Brookmont,Montgomery,3468,2688
Maryland,Brookview,Dorchester,60,1384.8
Maryland,Broomes Island,Calvert,405,557.2
Maryland,Brownsville,Washington,89,314.5
Maryland,Brunswick,Frederick,5870,1798
Maryland,Bryans Road,Charles,7244,470.9
Maryland,Bryantown,Charles,655,158.1
Maryland,Buckeystown,Frederick,1019,666.3
Maryland,Burkittsville,Frederick,151,332.6
Maryland,Burtonsville,Montgomery,8323,1063.7
Maryland,Butlertown,Kent,505,588.4
Maryland,Cabin John,Montgomery,2280,1907.3
Maryland,California,St. Mary's,11857,928.1
Maryland,Calvert Beach,Calvert,808,980.9
Maryland,Calverton,Montgomery,17724,3853.5
Maryland,Calverton,Prince George's,17724,3853.5
Maryland,Cambridge,Dorchester,12326,1192
Maryland,Camp Springs,Prince George's,19096,2483.1
Maryland,Cape St. Claire,Anne Arundel,8747,4366.6
Maryland,Capitol Heights,Prince George's,4337,5424.5
Maryland,Carlos,Allegany,153,533.6
Maryland,Carney,Baltimore,29941,4294.4
Maryland,Catonsville,Baltimore,41567,2977.2
Maryland,Cavetown,Washington,1473,774.1
Maryland,Cearfoss,Washington,178,885
Maryland,Cecilton,Cecil,663,1435.5
Maryland,Cedarville,Prince George's,717,54
Maryland,Centreville,Queen Anne's,4285,1746.5
Maryland,Chance,Somerset,353,211.4
Maryland,Charlestown,Cecil,1183,992.7
Maryland,Charlotte Hall,St. Mary's,1420,280.3
Maryland,Charlton,Washington,171,1046.1
Maryland,Chesapeake Beach,Calvert,5753,2121.5
Maryland,Chesapeake City,Cecil,673,1340.4
Maryland,Chesapeake Ranch Estates,Calvert,10519,2434.9
Maryland,Chester,Queen Anne's,4167,818.4
Maryland,Chestertown,Kent,5252,2023.6
Maryland,Cheverly,Prince George's,6173,4560.8
Maryland,Chevy Chase,Montgomery,2824,6014.7
Maryland,Chevy Chase,Montgomery,9545,3986.6
Maryland,Chevy Chase Section Five,Montgomery,658,6418.6
Maryland,Chevy Chase Section Three,Montgomery,760,6461.9
Maryland,Chevy Chase View,Montgomery,920,3336.5
Maryland,Chevy Chase Village,Montgomery,1953,4680.2
Maryland,Chewsville,Washington,238,285
Maryland,Chillum,Prince George's,33513,9819.3
Maryland,Choptank,Caroline,129,542.1
Maryland,Church Creek,Dorchester,125,370.4
Maryland,Church Hill,Queen Anne's,745,1045
Maryland,Clarksburg,Montgomery,13766,1677.3
Maryland,Clarysville,Allegany,73,624.4
Maryland,Clear Spring,Washington,358,3186
Maryland,Clinton,Prince George's,35970,1438.9
Maryland,Cloverly,Montgomery,15126,1505.2
Maryland,Cobb Island,Charles,1166,1916.3
Maryland,Cockeysville,Baltimore,20776,1824.6
Maryland,Colesville,Montgomery,14647,2911.3
Maryland,College Park,Prince George's,30413,5396
Maryland,Colmar Manor,Prince George's,1404,2993.8
Maryland,Columbia,Howard,99615,3120.1
Maryland,Coral Hills,Prince George's,9895,6591
Maryland,Cordova,Talbot,562,115.4
Maryland,Corriganville,Allegany,455,1152.1
Maryland,Cottage City,Prince George's,1305,5246
Maryland,Crellin,Garrett,264,376.1
Maryland,Cresaptown,Allegany,4592,750.9
Maryland,Crisfield,Somerset,2726,1679.7
Maryland,Crofton,Anne Arundel,27348,4135.2
Maryland,Croom,Prince George's,2631,76.9
Maryland,Crownsville,Anne Arundel,1757,345.7
Maryland,Cumberland,Allegany,20859,2068.7
